id,smiles,CAS,ref,logKow,ref_logKow
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,85721-33-1,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",-1.08,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,81103-11-9,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",3.16,pubChem
Clindamycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,81103-11-9,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",2.16,pubChem
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,15307-86-5,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",4.51,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Doxycycline,CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,564-25-0,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.63,pubChem
Gemfibrozil,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,25812-30-0,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",3.4,pubChem
Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,15687-27-1,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",3.97,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,53-86-1,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",4.27,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,22071-15-4,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",3.12,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Lincomycin,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,154-21-2,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.56,pubChem
Norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,70458-96-7,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.46,pubChem
Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,82419-36-1,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",-0.39,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Oxacillin,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,66-79-5,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",2.38,pubChem
Oxytetracycline,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,79-57-2,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",-0.9,pubChem
Salicylic acid,O=C(O)c1ccccc1O,69-72-7,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",2.26,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
Sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,122-11-2,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",1.63,pubChem
Sulfamethazine,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,57-68-1,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.89,pubChem
Sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,723-46-6,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.89,pubChem
Sulfathiazole,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,72-14-0,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.05,pubChem
Tetracycline,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,60-54-8,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",-1.37,pubChem
Triclosan,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,3380-34-5,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",4.76,pubChem
Trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,738-70-5,"Spongberg, A. L.; Witter, J. D.; Acuña, J.; Vargas, J.; Murillo, M.; Umaña, G.; Gómez, E.; Perez, G. Reconnaissance of Selected PPCP Compounds in Costa Rican Surface Waters. Water Research 2011, 45 (20), 6709–6717. https://doi.org/10.1016/j.watres.2011.10.004.
",0.91,"Zamora, W. J.; Bertsch, E.; Suñer, S.; Pinheiro, S. Experimental N-Octanol/Water Partition/Distribution Coefficients Database for Small Molecules, 2023. https://doi.org/10.5281/zenodo.7956685."
